videoId,type,title,director,cast,country,date_added,release_year,classfication,Runtime,tags,description,sequel
s1039,Movie,Marvel Studios' Avengers: Age of Ultron,Joss Whedon,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner",United States,2012/11/19,2015,PG-13,143,min,Tony Stark unwittingly creates an A.I. monster bent on destroying mankind.,"Marvel Studios' Avengers: Infinity War, Marvel Studios' Avengers: Endgame"
s1040,Movie,Marvel Studios' Avengers: Endgame,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner",United States,2012/11/19,2019,PG-13,183,min,"The epic finale to the Infinity Saga, this dramatic showdown pits the Avengers against Thanos.",
s1041,Movie,Marvel Studios' Captain America: Civil War,"Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",United States,2012/11/19,2016,PG-13,150,min,"Captain America and Iron Man clash, causing the Avengers to choose sides.",
s1042,Movie,Marvel Studios' Captain America: The First Avenger,Joe Johnston,"Chris Evans, Tommy Jones, Hugo Weaving, Sebastian Stan",United States,2012/11/19,2011,PG-13,126,min,A top-secret research project turns Steve Rogers into Captain America.,"Marvel Studios' Captain America: The Winter Soldier, Marvel Studios' Captain America: Civil War"
s1043,Movie,Marvel Studios' Captain America: The Winter Soldier,"Anthony Russo, Joe Russo","Chris Evans, Scarlett Johansson, Sebastian Stan",United States,2012/11/19,2014,PG-13,138,min,Captain America and Black Widow join forces against the Winter Soldier.,Marvel Studios' Captain America: Civil War
s1044,Movie,Marvel Studios' Captain Marvel,"Anna Boden, Ryan Fleck","Brie Larson, Samuel Jackson, Ben Mendelsohn","United States, Australia",2012/11/19,2019,PG-13,126,min,Marvel Studios' Captain Marvel launches the MCU's most powerful hero.,
s1045,Movie,Marvel Studios' Doctor Strange,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",United States,2012/11/19,2016,PG-13,116,min,A famous surgeon battles unseen forces bent on destroying our reality.,
s1046,Movie,Marvel Studios' Guardians of the Galaxy,James Gunn,"Chris Pratt, Dave Bautista, Vin Diesel",United States,2012/11/19,2014,PG-13,122,min,A group of misfit heroes become the object of an unrelenting bounty hunt.,Marvel Studios' Guardians of the Galaxy Vol. 2
s1047,Movie,Marvel Studios' Guardians of the Galaxy Vol. 2,James Gunn,"Chris Pratt, Bradley Cooper, Vin Diesel",United States,2012/11/19,2017,PG-13,137,min,The Guardians fight to keep their newfound family together as they discover Quill's parentage.,
s1048,Movie,Marvel Studios' Iron Man,Jon Favreau,"Robert Downey Jr., Terrence Howard, Jeff Bridges","United States, Canada",2012/11/19,2008,PG-13,127,min,Jet-setting industrialist Tony Stark vows to protect the world as Iron Man.,"Marvel Studios' Iron Man 2, Marvel Studios' Iron Man 3"
s1049,Movie,Marvel Studios' Iron Man 2,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson",United States,2012/11/19,2010,PG-13,125,min,Inventor Tony Stark forges new alliances to confront powerful enemies.,Marvel Studios' Iron Man 3
s1050,Movie,Marvel Studios' Iron Man 3,Shane Black,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle",United States,2012/11/19,2013,PG-13,132,min,"His personal world destroyed, Tony Stark embarks on a harrowing quest to find those responsible.",
